Addresss,station,walk_min,sale_price ,layout,floor_area_sqm,building_age,structure,description
あすみが丘,土気,20,14000000,,75,1997年,ＲＣ,あすみが丘、土気から20、1997年、ＲＣの、75のマンションが14000000で取引された。
あすみが丘,土気,20,12000000,,75,1997年,ＲＣ,あすみが丘、土気から20、1997年、ＲＣの、75のマンションが12000000で取引された。
あすみが丘,土気,20,12000000,,75,1997年,ＲＣ,あすみが丘、土気から20、1997年、ＲＣの、75のマンションが12000000で取引された。
あすみが丘,土気,3,20000000,,60,1993年,ＲＣ,あすみが丘、土気から3、1993年、ＲＣの、60のマンションが20000000で取引された。
あすみが丘,土気,20,15000000,,75,1997年,ＲＣ,あすみが丘、土気から20、1997年、ＲＣの、75のマンションが15000000で取引された。
あすみが丘,土気,16,21000000,３ＬＤＫ,65,2007年,ＲＣ,あすみが丘、土気から16、2007年、ＲＣの３ＬＤＫ、65のマンションが21000000で取引された。
あすみが丘,土気,16,13000000,３ＬＤＫ,75,1997年,ＳＲＣ,あすみが丘、土気から16、1997年、ＳＲＣの３ＬＤＫ、75のマンションが13000000で取引された。
あすみが丘,土気,19,15000000,３ＬＤＫ,80,1994年,ＲＣ,あすみが丘、土気から19、1994年、ＲＣの３ＬＤＫ、80のマンションが15000000で取引された。
あすみが丘,土気,16,11000000,３ＬＤＫ,70,1995年,ＲＣ,あすみが丘、土気から16、1995年、ＲＣの３ＬＤＫ、70のマンションが11000000で取引された。
あすみが丘,土気,19,12000000,,75,1994年,ＲＣ,あすみが丘、土気から19、1994年、ＲＣの、75のマンションが12000000で取引された。
あすみが丘,土気,19,14000000,４ＬＤＫ,100,2003年,ＲＣ,あすみが丘、土気から19、2003年、ＲＣの４ＬＤＫ、100のマンションが14000000で取引された。
あすみが丘,土気,11,23000000,４ＬＤＫ,95,2007年,ＲＣ,あすみが丘、土気から11、2007年、ＲＣの４ＬＤＫ、95のマンションが23000000で取引された。
あすみが丘,土気,18,13000000,３ＬＤＫ,70,1995年,ＲＣ,あすみが丘、土気から18、1995年、ＲＣの３ＬＤＫ、70のマンションが13000000で取引された。
あすみが丘,土気,19,14000000,３ＬＤＫ,70,1997年,ＳＲＣ,あすみが丘、土気から19、1997年、ＳＲＣの３ＬＤＫ、70のマンションが14000000で取引された。
あすみが丘,土気,3,13000000,３ＬＤＫ,60,1993年,ＲＣ,あすみが丘、土気から3、1993年、ＲＣの３ＬＤＫ、60のマンションが13000000で取引された。
あすみが丘,土気,24,17000000,３ＬＤＫ,95,1994年,ＲＣ,あすみが丘、土気から24、1994年、ＲＣの３ＬＤＫ、95のマンションが17000000で取引された。
あすみが丘,土気,18,14000000,３ＬＤＫ,75,1993年,ＲＣ,あすみが丘、土気から18、1993年、ＲＣの３ＬＤＫ、75のマンションが14000000で取引された。
あすみが丘,土気,14,14000000,４ＬＤＫ,80,1997年,ＲＣ,あすみが丘、土気から14、1997年、ＲＣの４ＬＤＫ、80のマンションが14000000で取引された。
あすみが丘,土気,21,12000000,３ＬＤＫ,70,1994年,ＲＣ,あすみが丘、土気から21、1994年、ＲＣの３ＬＤＫ、70のマンションが12000000で取引された。
あすみが丘,土気,19,12000000,３ＬＤＫ,70,1994年,ＲＣ,あすみが丘、土気から19、1994年、ＲＣの３ＬＤＫ、70のマンションが12000000で取引された。
あすみが丘,土気,19,12000000,３ＬＤＫ,75,1997年,ＳＲＣ,あすみが丘、土気から19、1997年、ＳＲＣの３ＬＤＫ、75のマンションが12000000で取引された。
あすみが丘,土気,20,11000000,３ＬＤＫ,75,1997年,ＲＣ,あすみが丘、土気から20、1997年、ＲＣの３ＬＤＫ、75のマンションが11000000で取引された。
あすみが丘,土気,20,13000000,３ＬＤＫ,75,1997年,ＲＣ,あすみが丘、土気から20、1997年、ＲＣの３ＬＤＫ、75のマンションが13000000で取引された。
あすみが丘,土気,20,11000000,２ＬＤＫ,75,1993年,ＲＣ,あすみが丘、土気から20、1993年、ＲＣの２ＬＤＫ、75のマンションが11000000で取引された。
あすみが丘,土気,19,12000000,３ＬＤＫ,75,1997年,ＳＲＣ,あすみが丘、土気から19、1997年、ＳＲＣの３ＬＤＫ、75のマンションが12000000で取引された。
あすみが丘,土気,18,15000000,３ＬＤＫ,90,1993年,ＲＣ,あすみが丘、土気から18、1993年、ＲＣの３ＬＤＫ、90のマンションが15000000で取引された。
あすみが丘,土気,21,12000000,３ＬＤＫ,65,1995年,ＲＣ,あすみが丘、土気から21、1995年、ＲＣの３ＬＤＫ、65のマンションが12000000で取引された。
あすみが丘,土気,20,12000000,３ＬＤＫ,85,1993年,ＲＣ,あすみが丘、土気から20、1993年、ＲＣの３ＬＤＫ、85のマンションが12000000で取引された。
あすみが丘,土気,19,13000000,３ＬＤＫ,70,1997年,ＳＲＣ,あすみが丘、土気から19、1997年、ＳＲＣの３ＬＤＫ、70のマンションが13000000で取引された。
あすみが丘,土気,19,18000000,３ＬＤＫ,70,1997年,ＳＲＣ,あすみが丘、土気から19、1997年、ＳＲＣの３ＬＤＫ、70のマンションが18000000で取引された。
あすみが丘,土気,21,9500000,３ＬＤＫ,75,1994年,ＲＣ,あすみが丘、土気から21、1994年、ＲＣの３ＬＤＫ、75のマンションが9500000で取引された。
あすみが丘,土気,23,11000000,３ＬＤＫ,75,1993年,ＲＣ,あすみが丘、土気から23、1993年、ＲＣの３ＬＤＫ、75のマンションが11000000で取引された。
あすみが丘,土気,16,17000000,４ＬＤＫ,85,2007年,ＲＣ,あすみが丘、土気から16、2007年、ＲＣの４ＬＤＫ、85のマンションが17000000で取引された。
あすみが丘,土気,21,13000000,３ＬＤＫ,80,1993年,ＲＣ,あすみが丘、土気から21、1993年、ＲＣの３ＬＤＫ、80のマンションが13000000で取引された。
あすみが丘,土気,21,16000000,３ＬＤＫ,75,1995年,ＲＣ,あすみが丘、土気から21、1995年、ＲＣの３ＬＤＫ、75のマンションが16000000で取引された。
あすみが丘,土気,14,10000000,３ＬＤＫ,75,1997年,ＲＣ,あすみが丘、土気から14、1997年、ＲＣの３ＬＤＫ、75のマンションが10000000で取引された。
